BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,cty_fips,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE,DATA_SOURCE
201909,2,100,201909,3,1600,142679,856985,ATLANTIC SOUTH,87,2019,September,Marine Tropical Depression,Z,651,DEERFIELD BEACH TO OCEAN REEF FL,87651,MFL,02-SEP-19 01:00:00,EST-5,03-SEP-19 16:00:00,0,0,0,0,0.00K,0.00K,C-MAN Station,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Powerful Hurricane Dorian passed 100 miles to the east of Palm Beach County over the northwestern Bahamas. As Dorian tracked very slowly through Abaco and Grand Bahama islands, it brought hazardous and life-threatening conditions to the local waters of South Florida. Sustained tropical storm force winds were observed over the offshore Atlantic waters and northern nearshore waters of Palm Beach. Southern coastal waters and Lake Okeechobee experienced sustained tropical depression winds with some gusts to tropical storm force.","Satellite and radar velocity data support tropical storm force sustained winds between 20 to 33 knots in the nearshore Atlantic waters. The highest recorded sustained winds were located at the C-MAN station FWYF1 Fowey Rocks at a height of 144 feet, which recorded a maximum sustained wind of 31 knots from the west at 12:40 PM on September 3rd.",CSV
202008,1,100,202008,2,200,151265,913996,ATLANTIC SOUTH,87,2020,August,Marine Tropical Depression,Z,630,BISCAYNE BAY,87630,MFL,01-AUG-20 01:00:00,EST-5,02-AUG-20 02:00:00,0,0,0,0,0.00K,0.00K,Mesonet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A low pressure system moving across the tropical Atlantic into the eastern Caribbean Sea formed into Tropical Storm Isaias on July 28th. While the system briefly became a hurricane near Great Inagua Island on July 30th, it was downgraded back to a Tropical Storm as it moved over Andros Island on August 1st with a minimum central pressure of 993 mb. Isaias gradually turned to the N-NW and the center passed about 30-40 miles east of the Palm Beach County coast during the morning of August 2nd with a minimum central pressure of 995 mb and maximum sustained winds of 65 to 70 mph. Lowest surface pressure measured along the coast of South Florida was 1003.1 mb at Lake Worth Pier on August 2nd. At Settlement Point/West End, Grand Bahama Island, lowest measured surface pressure was 1000.5 mb on August 2nd. ||Although the effects from Tropical Storm Isaias were fairly minor for South Florida, there were sustained Tropical Storm force winds over the Atlantic waters and Biscayne Bay which created hazardous marine conditions.","Maximum sustained winds on Biscayne Bay were in the 30 to 35 mph range, with peak gusts of 40-45 mph. The highest measured value was 46 mph (40 kt) wind gust recorded by Wxflow mesonet station XKBS, Biscayne Bay Light 20 southwest of Key Biscayne in association with a strong outer rain band emanating from Isaias at 1:58 PM EDT on August 1st.",CSV
202009,12,0,202009,13,100,152468,918364,ATLANTIC SOUTH,87,2020,September,Marine Tropical Depression,Z,671,DEERFIELD BEACH TO OCEAN REEF FL 20 TO 60NM,87671,MFL,12-SEP-20 00:00:00,EST-5,13-SEP-20 01:00:00,0,0,0,0,0.00K,0.00K,Mesonet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A low pressure system, turned tropical disturbance, moving across the western Atlantic and over the Bahamas abruptly formed into Tropical Depression Nineteen on September 11th. Tropical Depression Nineteen gradually continued westward and the center passed about 10 to 20 miles SSE of Miami, Florida during the morning of September 12th with a minimum central pressure of 1007 mb and maximum sustained winds of 35 mph. As Tropical Depression Nineteen moved westward over the South Florida peninsula, it continued to strengthen into a Tropical Storm known as Tropical Storm Sally. Lowest surface pressure recorded over the South Florida Atlantic Coast was 1005.5 mb at Fowey Rocks and maximum sustained winds of 46 mph/40 knots at Fowey Rocks on September 12. ||Although the effects from Tropical Depression Nineteen were generally minor for wind, there were sustained Tropical Storm force winds across Biscayne Bay and the near-shore Atlantic waters with sustained Tropical Depression force winds over the outer Atlantic waters, which created hazardous marine conditions.","Sustained tropical depression force winds over the offshore waters were probably in the 25 to 33 knot range based on data from hurricane hunter aircraft, with gusts possibly as high as 40 to 45 knots.",CSV
202009,12,0,202009,13,100,152468,918365,ATLANTIC SOUTH,87,2020,September,Marine Tropical Depression,Z,670,JUPITER INLET TO DEERFIELD BEACH FL 20 TO 60NM,87670,MFL,12-SEP-20 00:00:00,EST-5,13-SEP-20 01:00:00,0,0,0,0,0.00K,0.00K,Mesonet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A low pressure system, turned tropical disturbance, moving across the western Atlantic and over the Bahamas abruptly formed into Tropical Depression Nineteen on September 11th. Tropical Depression Nineteen gradually continued westward and the center passed about 10 to 20 miles SSE of Miami, Florida during the morning of September 12th with a minimum central pressure of 1007 mb and maximum sustained winds of 35 mph. As Tropical Depression Nineteen moved westward over the South Florida peninsula, it continued to strengthen into a Tropical Storm known as Tropical Storm Sally. Lowest surface pressure recorded over the South Florida Atlantic Coast was 1005.5 mb at Fowey Rocks and maximum sustained winds of 46 mph/40 knots at Fowey Rocks on September 12. ||Although the effects from Tropical Depression Nineteen were generally minor for wind, there were sustained Tropical Storm force winds across Biscayne Bay and the near-shore Atlantic waters with sustained Tropical Depression force winds over the outer Atlantic waters, which created hazardous marine conditions.","Sustained tropical depression force winds over the offshore waters were probably in the 25 to 33 knot range based on data from hurricane hunter aircraft, with gusts possibly as high as 40 to 45 knots.",CSV
202011,8,2000,202011,9,600,153628,924958,ATLANTIC SOUTH,87,2020,November,Marine Tropical Depression,Z,610,LAKE OKEECHOBEE,87610,MFL,08-NOV-20 20:00:00,EST-5,09-NOV-20 06:00:00,0,0,0,0,0.00K,0.00K,Mesonet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A tropical wave, turned tropical depression, moving westward across the western Caribbean Sea abruptly formed into an intense Category 4 hurricane before making landfall over western Nicaragua on November 3rd, with a minimum central pressure of 923 mb just before landfall, and a minimum central pressure of 940 mb at landfall. Eta then weakened into a Tropical Depression as it moved across Central America and before it re-entered the western Caribbean Sea. Eta maintained Tropical Depression status for a few days before restrengthening into a Tropical Storm on November 7th, just west of the Cayman Islands. Tropical Storm Eta continued moving northward while intensifying into a strong Tropical Storm just before making landfall over Cuba early morning on November 8th. Tropical Storm Eta then began to move northwestward and towards FL on November 8th, with the center passing about 70 to 80 miles southwest of Miami, Florida and about 100 to 110 miles southeast of Naples, Florida. Strong Tropical Storm Eta made landfall on Lower Matecumbe Key in the Florida Keys with maximum winds estimated to be near 65 mph and a minimum central pressure of 991 mb.||As Tropical Storm Eta moved westward towards Florida, it maintained Tropical Storm intensity. Lowest surface pressure recorded over the South Florida Atlantic Coast was 1002.3 mb at Fowey Rocks and maximum sustained winds of 49 knots/56 mph at Government Cut during the early morning hours on November 9th. Tropical Storm Eta then meandered offshore southwest Florida the next couple of days before making landfall yet again near Cedar Key, Florida on November 12th.||Although the effects from Tropical Storm Eta were generally minor for wind, there were sustained Tropical Storm force winds across Biscayne Bay and the Atlantic waters, which created hazardous marine conditions.","Sustained tropical depression force winds around 30 to 35 mph/25 to 30 knots were recorded in the Lake Okeechobee waters. A peak wind gust of 41 mph/36 knots was recorded by the mesonet site at Lake Okeechobee South, North, and Cener (L006, L001, and LZ40, respectively) at 09:45 PM EST on November 8th, 10:30 PM EST on November 8th, and 05:00 AM EST on November 9th in association with a strong outer rain band emanating from TS Eta.",CSV
202107,6,100,202107,6,1900,160163,968015,ATLANTIC SOUTH,87,2021,July,Marine Tropical Depression,Z,671,DEERFIELD BEACH TO OCEAN REEF FL 20 TO 60NM,87671,MFL,06-JUL-21 01:00:00,EST-5,06-JUL-21 19:00:00,0,0,0,0,0.00K,0.00K,Mesonet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A low pressure system, turned tropical disturbance, moving across the central tropical Atlantic formed into Tropical Storm Elsa on July 1st. Tropical Storm Elsa gradually continued westward over the next few days before turning northwestward and towards the FL peninsula on July 4th and 5th. The center passed well to the west of South FL, in the eastern Gulf of Mexico, during the day of July 6th, with a minimum central pressure of 1000 mb and maximum sustained winds of 70 mph. For the most part, as Tropical Storm Elsa continued northward and towards the FL Panhandle, it maintained tropical storm intensity, though briefly achieved weak hurricane status late July 6th before decreasing back to tropical storm intensity early July 7th . Lowest surface pressure recorded over the South Florida Atlantic Coast was 1015.7 mb at Fowey Rocks and maximum sustained winds of 28 mph/24 knots at Fowey Rocks on July 6th. Recorded Tropical Storm force wind gusts were measured across the Biscayne Bay and Atlantic waters ranging from 40 to 50 mph, with higher gusts.||Although the effects from Tropical Storm Elsa were generally minor for wind, there were Tropical Storm force wind gusts and sustained Tropical Depression force winds over the Biscayne Bay and Atlantic waters, which created hazardous marine conditions.","Sustained tropical depression force winds over the offshore waters were probably in the 30 to 33 knot range based on data from hurricane hunter aircraft, with gusts possibly as high as 40 to 50 knots.",CSV
202107,6,100,202107,6,1900,160163,968016,ATLANTIC SOUTH,87,2021,July,Marine Tropical Depression,Z,630,BISCAYNE BAY,87630,MFL,06-JUL-21 01:00:00,EST-5,06-JUL-21 19:00:00,0,0,0,0,0.00K,0.00K,Mesonet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A low pressure system, turned tropical disturbance, moving across the central tropical Atlantic formed into Tropical Storm Elsa on July 1st. Tropical Storm Elsa gradually continued westward over the next few days before turning northwestward and towards the FL peninsula on July 4th and 5th. The center passed well to the west of South FL, in the eastern Gulf of Mexico, during the day of July 6th, with a minimum central pressure of 1000 mb and maximum sustained winds of 70 mph. For the most part, as Tropical Storm Elsa continued northward and towards the FL Panhandle, it maintained tropical storm intensity, though briefly achieved weak hurricane status late July 6th before decreasing back to tropical storm intensity early July 7th . Lowest surface pressure recorded over the South Florida Atlantic Coast was 1015.7 mb at Fowey Rocks and maximum sustained winds of 28 mph/24 knots at Fowey Rocks on July 6th. Recorded Tropical Storm force wind gusts were measured across the Biscayne Bay and Atlantic waters ranging from 40 to 50 mph, with higher gusts.||Although the effects from Tropical Storm Elsa were generally minor for wind, there were Tropical Storm force wind gusts and sustained Tropical Depression force winds over the Biscayne Bay and Atlantic waters, which created hazardous marine conditions.",Sustained tropical depression force winds around 35 to 38 mph/30 to 33 knots were recorded in Biscayne Bay. A peak wind gust of 48 mph/42 knots was recorded by the WxFlow mesonet (XGVT) at Government Cut in association with a strong outer rain band emanating from TS Elsa.,CSV
202107,6,100,202107,6,1900,160163,968017,ATLANTIC SOUTH,87,2021,July,Marine Tropical Depression,Z,651,DEERFIELD BEACH TO OCEAN REEF FL,87651,MFL,06-JUL-21 01:00:00,EST-5,06-JUL-21 19:00:00,0,0,0,0,0.00K,0.00K,Mesonet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A low pressure system, turned tropical disturbance, moving across the central tropical Atlantic formed into Tropical Storm Elsa on July 1st. Tropical Storm Elsa gradually continued westward over the next few days before turning northwestward and towards the FL peninsula on July 4th and 5th. The center passed well to the west of South FL, in the eastern Gulf of Mexico, during the day of July 6th, with a minimum central pressure of 1000 mb and maximum sustained winds of 70 mph. For the most part, as Tropical Storm Elsa continued northward and towards the FL Panhandle, it maintained tropical storm intensity, though briefly achieved weak hurricane status late July 6th before decreasing back to tropical storm intensity early July 7th . Lowest surface pressure recorded over the South Florida Atlantic Coast was 1015.7 mb at Fowey Rocks and maximum sustained winds of 28 mph/24 knots at Fowey Rocks on July 6th. Recorded Tropical Storm force wind gusts were measured across the Biscayne Bay and Atlantic waters ranging from 40 to 50 mph, with higher gusts.||Although the effects from Tropical Storm Elsa were generally minor for wind, there were Tropical Storm force wind gusts and sustained Tropical Depression force winds over the Biscayne Bay and Atlantic waters, which created hazardous marine conditions.",Sustained tropical depression force winds around 35 to 38 mph/30 to 33 knots were recorded in the near-shore Atlantic waters. A peak wind gust of 62 mph/54 knots was recorded by the NDBC C-MAN station (FWYF1) at Fowey Rocks at a height of 144 feet in association with a strong outer rain band emanating from TS Elsa.,CSV
202107,6,100,202107,6,1900,160163,968018,ATLANTIC SOUTH,87,2021,July,Marine Tropical Depression,Z,670,JUPITER INLET TO DEERFIELD BEACH FL 20 TO 60NM,87670,MFL,06-JUL-21 01:00:00,EST-5,06-JUL-21 19:00:00,0,0,0,0,0.00K,0.00K,Mesonet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A low pressure system, turned tropical disturbance, moving across the central tropical Atlantic formed into Tropical Storm Elsa on July 1st. Tropical Storm Elsa gradually continued westward over the next few days before turning northwestward and towards the FL peninsula on July 4th and 5th. The center passed well to the west of South FL, in the eastern Gulf of Mexico, during the day of July 6th, with a minimum central pressure of 1000 mb and maximum sustained winds of 70 mph. For the most part, as Tropical Storm Elsa continued northward and towards the FL Panhandle, it maintained tropical storm intensity, though briefly achieved weak hurricane status late July 6th before decreasing back to tropical storm intensity early July 7th . Lowest surface pressure recorded over the South Florida Atlantic Coast was 1015.7 mb at Fowey Rocks and maximum sustained winds of 28 mph/24 knots at Fowey Rocks on July 6th. Recorded Tropical Storm force wind gusts were measured across the Biscayne Bay and Atlantic waters ranging from 40 to 50 mph, with higher gusts.||Although the effects from Tropical Storm Elsa were generally minor for wind, there were Tropical Storm force wind gusts and sustained Tropical Depression force winds over the Biscayne Bay and Atlantic waters, which created hazardous marine conditions.","Sustained tropical depression force winds over the offshore waters were probably in the 25 to 33 knot range based on data from hurricane hunter aircraft, with gusts possibly as high as 40 to 45 knots.",CSV
202107,6,100,202107,6,1900,160163,968020,ATLANTIC SOUTH,87,2021,July,Marine Tropical Depression,Z,650,JUPITER INLET TO DEERFIELD BEACH FL OUT 20NM,87650,MFL,06-JUL-21 01:00:00,EST-5,06-JUL-21 19:00:00,0,0,0,0,0.00K,0.00K,Mesonet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A low pressure system, turned tropical disturbance, moving across the central tropical Atlantic formed into Tropical Storm Elsa on July 1st. Tropical Storm Elsa gradually continued westward over the next few days before turning northwestward and towards the FL peninsula on July 4th and 5th. The center passed well to the west of South FL, in the eastern Gulf of Mexico, during the day of July 6th, with a minimum central pressure of 1000 mb and maximum sustained winds of 70 mph. For the most part, as Tropical Storm Elsa continued northward and towards the FL Panhandle, it maintained tropical storm intensity, though briefly achieved weak hurricane status late July 6th before decreasing back to tropical storm intensity early July 7th . Lowest surface pressure recorded over the South Florida Atlantic Coast was 1015.7 mb at Fowey Rocks and maximum sustained winds of 28 mph/24 knots at Fowey Rocks on July 6th. Recorded Tropical Storm force wind gusts were measured across the Biscayne Bay and Atlantic waters ranging from 40 to 50 mph, with higher gusts.||Although the effects from Tropical Storm Elsa were generally minor for wind, there were Tropical Storm force wind gusts and sustained Tropical Depression force winds over the Biscayne Bay and Atlantic waters, which created hazardous marine conditions.",Sustained tropical depression force winds around 35 to 38 mph/30 to 33 knots were recorded in the near-shore Atlantic waters. A peak wind gust of 49 mph/43 knots was recorded by the mesonet (XJUP) Juno Beach Pier in association with a strong outer rain band emanating from TS Elsa.,CSV
